Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
361.31	1.0000	0.067960	14.714	3347.4	4838.3	56.146	10.320	14.445	1445.0	-0.079805	1.0164e-05	0.21586	vapor
362.19	1.0000	0.067795	14.750	3356.5	4851.1	56.181	10.321	14.446	1446.7	-0.079989	1.0181e-05	0.21627	vapor
363.07	1.0000	0.067631	14.786	3365.6	4863.8	56.216	10.322	14.447	1448.5	-0.080171	1.0198e-05	0.21668	vapor
363.95	1.0000	0.067467	14.822	3374.7	4876.5	56.251	10.323	14.448	1450.2	-0.080353	1.0214e-05	0.21709	vapor
364.83	1.0000	0.067305	14.858	3383.7	4889.2	56.286	10.324	14.449	1451.9	-0.080534	1.0231e-05	0.21750	vapor
365.71	1.0000	0.067143	14.894	3392.8	4901.9	56.321	10.325	14.450	1453.7	-0.080713	1.0248e-05	0.21791	vapor
366.59	1.0000	0.066982	14.929	3401.9	4914.6	56.356	10.326	14.451	1455.4	-0.080891	1.0265e-05	0.21831	vapor
367.47	1.0000	0.066821	14.965	3411.0	4927.4	56.390	10.327	14.452	1457.1	-0.081068	1.0281e-05	0.21872	vapor
368.35	1.0000	0.066662	15.001	3420.1	4940.1	56.425	10.328	14.453	1458.8	-0.081245	1.0298e-05	0.21913	vapor
369.23	1.0000	0.066503	15.037	3429.2	4952.8	56.459	10.329	14.454	1460.6	-0.081420	1.0315e-05	0.21954	vapor
370.11	1.0000	0.066345	15.073	3438.3	4965.5	56.494	10.329	14.454	1462.3	-0.081593	1.0332e-05	0.21995	vapor
370.99	1.0000	0.066188	15.109	3447.4	4978.2	56.528	10.330	14.455	1464.0	-0.081766	1.0348e-05	0.22038	vapor
371.87	1.0000	0.066031	15.144	3456.4	4991.0	56.562	10.331	14.456	1465.7	-0.081938	1.0365e-05	0.22080	vapor
